d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
9.49517009241171E-07,1.19103640749962E-06,3.10880335363548E-06,2.50243061827877E-06,3.22081952583986E-05,2.54533452823671E-05,2.08702602755303E-05,2022-04-21,2022-04-22,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,,,,,,,
1.04432382741493E-06,2.55808431237643E-06,1.81021079925807E-06,2.91978530528869E-05,2.27260002816368E-05,1.84703834948959E-05,1.67852849699561E-05,2022-04-22,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-05-02,,,,,,,
2.33053523168731E-06,1.3776180838311E-06,2.65798335021827E-05,2.00903372180597E-05,1.6049933230456E-05,1.45402078397532E-05,2.20123764658189E-05,2022-04-25,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-05-02,2022-05-03,,,,,,,
1.13425863901296E-06,2.40011756089675E-05,1.69078517666679E-05,1.28209099479199E-05,1.1409802544771E-05,1.82143445395247E-05,1.94295611779529E-05,2022-04-26,2022-04-27,2022-04-28,2022-04-29,2022-05-02,2022-05-03,2022-05-04,,,,,,,
2.32641964794666E-05,1.5468821637832E-05,1.10379962239288E-05,9.4923397142569E-06,1.5714650239085E-05,1.69103027483077E-05,5.84577043127879E-06,2022-04-27,2022-04-28,2022-04-29,2022-05-02,2022-05-03,2022-05-04,2022-05-05,,,,,,,
1.28901519680371E-05,6.31744781487462E-06,3.65801520274566E-06,0.00000686859960930001,7.49525120391518E-06,1.16512662717844E-06,9.40165565399604E-06,2022-04-28,2022-04-29,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,,,,,,,
5.10389404539995E-06,1.72146796817444E-06,3.07212935646294E-06,3.02457115375364E-06,3.29467653159873E-09,4.28864245805051E-06,1.29292361317203E-05,2022-04-29,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-09,,,,,,,
1.3281200408334E-06,1.89199031197525E-06,1.42464040564512E-06,3.25289933877894E-07,2.04035630191359E-06,8.82343819430548E-06,5.072030077935E-06,2022-05-02,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-09,2022-05-10,,,,,,,
1.6748652464927E-06,1.00250902002058E-06,7.19955509431666E-07,1.22846913996906E-06,6.98515539299131E-06,3.73790432295351E-06,2.58647618522927E-06,2022-05-03,2022-05-04,2022-05-05,2022-05-06,2022-05-09,2022-05-10,2022-05-11,,,,,,,
8.28016845311248E-07,1.13305284177295E-06,6.33719061449289E-07,5.21497856098576E-06,2.45140023480417E-06,1.56331669032304E-06,1.27454317522258E-06,2022-05-04,2022-05-05,2022-05-06,2022-05-09,2022-05-10,2022-05-11,2022-05-12,,,,,,,
1.27383671699726E-06,4.15079458804365E-07,4.2604223091659E-06,1.72416706711864E-06,9.83650353170328E-07,7.69561001812136E-07,5.80872152378247E-07,2022-05-05,2022-05-06,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,,,,,,,
5.24072057750523E-07,5.07377530412091E-06,2.51394709849251E-06,1.70368360219463E-06,1.43522474105318E-06,1.15434293324075E-06,3.85011112791211E-06,2022-05-06,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-16,,,,,,,
4.84586980342717E-06,2.14502512840831E-06,1.27774150460188E-06,9.93755344902425E-07,7.54472191610989E-07,3.10407593517859E-06,5.96190094848212E-07,2022-05-09,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-16,2022-05-17,,,,,,,
1.71353940126018E-06,5.81712868097511E-07,2.16493628579784E-07,6.60721477530474E-08,1.29054104491821E-06,2.64634734126371E-08,1.5261816010974E-07,2022-05-10,2022-05-11,2022-05-12,2022-05-13,2022-05-16,2022-05-17,2022-05-18,,,,,,,
4.49280684655774E-07,6.09288675068598E-08,3.46620532275651E-09,5.96765517890674E-07,4.38508804822869E-08,8.06651634380584E-10,1.34365498727234E-08,2022-05-11,2022-05-12,2022-05-13,2022-05-16,2022-05-17,2022-05-18,2022-05-19,,,,,,,
3.98167900872437E-08,2.9141119739478E-08,3.73002117193266E-07,1.56437274023658E-07,2.62699038078116E-08,9.08005413080225E-08,1.67293734421755E-10,2022-05-12,2022-05-13,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,,,,,,,
3.41525927538247E-08,3.33413852082742E-07,1.96867006252383E-07,4.72986150245916E-08,1.28174954205878E-07,1.78588166477077E-09,4.37493273608315E-07,2022-05-13,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-23,,,,,,,
3.48658852011852E-07,1.70421813550047E-07,2.9878322038693E-08,9.40622522093918E-08,1.05409236895186E-10,3.72456273822662E-07,1.84040864348297E-06,2022-05-16,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-23,2022-05-24,,,,,,,
2.06638270050468E-07,7.37360681401765E-08,2.01897102591836E-07,2.36574502210288E-08,6.05569312250735E-07,2.31060506283836E-06,3.72840326634527E-06,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-23,2022-05-24,2022-05-25,,,,,,,
5.73062097774813E-08,1.3936692000445E-07,1.93103333323319E-09,4.24871260173878E-07,1.93428285744075E-06,3.25810571610842E-06,1.94989893120826E-06,2022-05-18,2022-05-19,2022-05-20,2022-05-23,2022-05-24,2022-05-25,2022-05-26,,,,,,,
1.27003975336453E-07,1.51259005318822E-11,3.52753418475417E-07,1.75352309472728E-06,3.01685339909587E-06,1.76910655014232E-06,7.4176416209307E-07,2022-05-19,2022-05-20,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,,,,,,,
